date,cloud_cover,valid_px,ndwi_mean,ndwi_std,ndti_mean,ndti_std,turb_mean,turb_std,month,ndwi_mean_zscore,ndwi_mean_anomaly,ndti_mean_zscore,ndti_mean_anomaly,turb_mean_zscore,turb_mean_anomaly,any_anomaly
2023-08-27,1.296412,80666,0.0977,0.0146,-0.0666,0.0075,0.8752,0.0131,2023-08,0.636,False,-0.673,False,-0.678,False,False
2023-09-06,0.00634,80666,0.0791,0.0141,-0.0608,0.008,0.8855,0.0141,2023-09,-0.252,False,-0.244,False,-0.255,False,False
2023-09-11,4.032118,80667,0.0753,0.0123,-0.0574,0.0073,0.8915,0.0131,2023-09,-0.433,False,0.007,False,-0.009,False,False
2023-09-16,0.000418,80666,0.0795,0.0165,-0.061,0.0086,0.8851,0.0152,2023-09,-0.233,False,-0.259,False,-0.271,False,False
2023-09-21,4.101947,80667,0.076,0.0246,-0.0574,0.0105,0.8916,0.0187,2023-09,-0.4,False,0.007,False,-0.005,False,False
2023-09-26,15.800375,80666,0.0829,0.0135,-0.0644,0.0084,0.8792,0.0147,2023-09,-0.07,False,-0.51,False,-0.513,False,False
2023-10-06,5.3e-05,80665,0.1037,0.0164,-0.076,0.0063,0.8588,0.0109,2023-10,0.922,False,-1.367,False,-1.35,False,False
2023-10-11,10.934351,80667,0.0981,0.0281,-0.068,0.0096,0.8728,0.0168,2023-10,0.655,False,-0.776,False,-0.776,False,False
2023-10-16,12.866732,5014,0.0961,0.0134,-0.0628,0.0077,0.8819,0.0137,2023-10,0.559,False,-0.392,False,-0.403,False,False
2023-10-21,0.624417,80666,0.0863,0.0134,-0.0619,0.0075,0.8835,0.0133,2023-10,0.092,False,-0.325,False,-0.337,False,False
2023-11-10,13.577175,80665,0.0729,0.0185,-0.0523,0.0112,0.9008,0.0201,2023-11,-0.547,False,0.384,False,0.372,False,False
2023-12-15,8.450393,5014,0.0931,0.0093,-0.0687,0.0065,0.8715,0.0114,2023-12,0.416,False,-0.828,False,-0.829,False,False
2023-12-30,15.3799,80666,0.1145,0.0131,-0.0853,0.008,0.8429,0.0136,2023-12,1.437,False,-2.055,True,-2.002,True,True
2024-01-24,7e-05,80664,0.1126,0.0124,-0.0802,0.0065,0.8515,0.0111,2024-01,1.346,False,-1.678,False,-1.65,False,False
2024-01-29,14.051031,5014,0.1259,0.0399,-0.0793,0.0056,0.8531,0.0096,2024-01,1.981,False,-1.611,False,-1.584,False,False
2024-02-03,0.004214,5014,0.1292,0.011,-0.0771,0.0081,0.857,0.0139,2024-02,2.138,True,-1.449,False,-1.424,False,True
2024-02-13,0.837469,80665,0.0895,0.0164,-0.0673,0.0089,0.874,0.0155,2024-02,0.244,False,-0.724,False,-0.727,False,False
2024-02-18,14.54986,80660,0.1059,0.0119,-0.0745,0.0069,0.8614,0.0119,2024-02,1.027,False,-1.256,False,-1.244,False,False
2024-02-23,5.246383,80666,0.0908,0.015,-0.068,0.0083,0.8728,0.0145,2024-02,0.306,False,-0.776,False,-0.776,False,False
2024-02-28,18.876,79503,0.1013,0.0221,-0.0683,0.0151,0.8726,0.0275,2024-02,0.807,False,-0.798,False,-0.784,False,False
2024-03-09,3.092528,5014,0.121,0.0226,-0.0748,0.0097,0.8609,0.0172,2024-03,1.747,False,-1.279,False,-1.264,False,False
2024-03-14,0.000113,80666,0.0889,0.0134,-0.068,0.008,0.8728,0.0139,2024-03,0.216,False,-0.776,False,-0.776,False,False
2024-04-03,0.215942,80637,0.0765,0.0274,-0.0566,0.0105,0.8931,0.0186,2024-04,-0.376,False,0.066,False,0.057,False,False
