date,cloud_cover,valid_px,ndwi_mean,ndwi_std,ndti_mean,ndti_std,turb_mean,turb_std
2024-06-27,0.038478,80538,0.0645,0.0307,-0.05,0.0138,0.9051,0.0214
2024-07-22,0.004051,80645,0.0821,0.0114,-0.0647,0.007,0.8785,0.0124
2024-08-06,17.220666,78130,0.0779,0.0185,-0.0559,0.01,0.8943,0.018
2024-08-26,1.941918,80667,0.0699,0.0284,-0.0557,0.0103,0.8947,0.0184
2024-08-31,0.006098,80667,0.0754,0.0102,-0.0612,0.0064,0.8848,0.0113
2024-09-05,0.001045,80667,0.0769,0.0118,-0.0589,0.0065,0.8889,0.0116
2024-09-10,0.03292,80667,0.0703,0.016,-0.0603,0.0074,0.8863,0.0131
2024-10-10,2.292836,5014,0.1248,0.0381,-0.0679,0.005,0.8728,0.0088
2024-10-25,10.843902,80667,0.0778,0.0228,-0.0622,0.0068,0.8829,0.0121
2024-10-30,0.317126,80667,0.0828,0.0093,-0.0683,0.0049,0.8722,0.0086
2024-11-09,0.176572,5014,0.1285,0.0115,-0.0963,0.0092,0.8244,0.0153
2024-11-24,13.919161,80667,0.0728,0.0117,-0.0647,0.0072,0.8786,0.0127
2024-12-14,0.457975,5014,0.1046,0.0154,-0.0757,0.0113,0.8594,0.0196
2024-12-19,18.689689,4570,0.1215,0.0173,-0.0728,0.0102,0.8644,0.0178
2024-12-24,0.000255,80667,0.0708,0.0137,-0.0557,0.0082,0.8945,0.0147
2024-12-29,0.437122,80667,0.0738,0.0151,-0.0596,0.0079,0.8876,0.0139
